name,price,price_tax,description,allergens,calories,carbohydrate,fat,fiber,protein,salt,sugar,is_seven_premium,category,small_category,url,image_url
北海道産チーズのポテトピザパン,148.0,159.84,ふんわりとしたパン生地の上にポテトサラダとローストオニオンを混ぜたフィリングを乗せその上に北海道産ゴーダチーズをのせ焼き上げた惣菜パンです。,"卵,乳,小麦",246.0,27.5,12.7,1.3,6.1,1.3,26.2,true,パン・シリアル,パン・シリアル,https://www.sej.co.jp/products/a/item/302849/,https://img.7api-01.dp1.sej.co.jp/item-image/302849/0C41B78BFEA7D4C6B782C20083868421.jpg
７プレミアム具だくさんもつ煮込み,548.0,591.84,ブレンドした信州味噌を使用し、国産豚もつ・群馬県産生芋蒟蒻・野菜が入った具だくさんもつ煮込みです。,小麦,451.0,30.1,27.1,4.7,24.1,4.6,25.4,true,チルド惣菜,７プレミアム（主菜）,https://www.sej.co.jp/products/a/item/104800/,https://img.7api-01.dp1.sej.co.jp/item-image/104800/CB7E0FD4B609696BDEA3C064E40A5100.jpg
セリア・ロイルぷるるん完熟かぼす,128.0,138.24,,,,,,,,,,false,アイス,アイスクリーム,https://www.sej.co.jp/products/a/item/450613/,https://img.7api-01.dp1.sej.co.jp/item-image/450613/B09F28E3C4C1B7F32DB8365F007C7DEC.jpg
７プレミアム本鉢仕上白すりごま,148.0,159.84,低温焙煎で甘みを引き出した白ごまを本鉢を使って仕上げた香ばしいすりごまです,,329.0,10.2,29.8,6.9,11.2,0.0,3.3,true,常温・加工食品,乾麺・乾物,https://www.sej.co.jp/products/a/item/350189/,https://img.7api-01.dp1.sej.co.jp/item-image/350189/E0EFFA68D10986F4A84051548CFA6674.jpg
７プレミアムラングドシャホワイトチョコ,198.0,213.84,サクサクに焼き上げたラングドシャクッキーにまろやかなホワイトチョコレートをサンドしました。,"卵,乳,小麦",390.0,39.4,23.7,0.4,4.9,0.2,39.0,true,お菓子,チョコレート・焼き菓子,https://www.sej.co.jp/products/a/item/320869/,https://img.7api-01.dp1.sej.co.jp/item-image/320869/14895826E41393D7B312BF0271B423B6.jpg
鶏肉と九条ねぎのバター醤油パスタ,490.0,529.2,柚子胡椒で味付けした鶏肉に加え、九条ねぎやきのこを盛り付けたバター醤油仕立てのパスタです。,"卵,乳,小麦",464.0,59.7,12.2,4.3,30.9,3.2,55.4,false,スパゲティ・パスタ,スパゲティ・パスタ,https://www.sej.co.jp/products/a/item/094958/,https://img.7api-01.dp1.sej.co.jp/item-image/094958/C306D8405F07346DC0109B164F5422D5.jpg
７Ｐグラン・アンデスシャルドネ２５０ｍｌ,258.0,283.8,パイナップル、パッションフルーツの果実香やオレンジの花の華やかなアロマに、アーモンドの香りが調和。ふくよかな果実味。,,,,,,,,,true,お酒,お酒,https://www.sej.co.jp/products/a/item/031203/,https://img.7api-01.dp1.sej.co.jp/item-image/031203/0EAF66B99439F89F97BF2A042E1792AF.jpg
もち麦もっちり！すだち香るちりめんおかか,130.0,140.4,徳島県産すだちとゆかりを組合せた爽やかな香りのもち麦御飯に、ちりめんおかかを中具として入れたおむすびです。,"小麦,えび,かに",161.0,31.7,2.0,3.5,5.7,0.87,28.2,false,おにぎり,その他のおむすび,https://www.sej.co.jp/products/a/item/044916/,https://img.7api-01.dp1.sej.co.jp/item-image/044916/75DD15B6018C0C05F0457BB93352AA6C.jpg
セブンプレミアムピーカンナッツショコラ,328.0,354.24,ピーカンナッツとチョコレートを組合せたチョコレートです。口どけのいいチョコレートとピーカンナッツのカリッと食感が楽しめます。,乳,186.0,13.5,14.0,,2.7,0.02,,true,お菓子,チョコレート・焼き菓子,https://www.sej.co.jp/products/a/item/323640/,https://img.7api-01.dp1.sej.co.jp/item-image/323640/E9778B66B874819A04414FD68E72DE7A.jpg
７プレミアム熟成焼きいか,348.0,375.84,6時間以上熟成することでいかの旨味を凝縮させ、醤油をかけて香ばしく焼き上げました。お好みで添付のマヨネーズと七味をつけてお召し上がりください。,"卵,小麦",138.0,4.6,6.3,0.1,15.8,1.6,4.5,true,生鮮,生鮮,https://www.sej.co.jp/products/a/item/250133/,https://img.7api-01.dp1.sej.co.jp/item-image/250133/754B7E418DC3C732EA17C3491382C506.jpg
