name,price,price_tax,description,allergens,calories,carbohydrate,fat,fiber,protein,salt,sugar,is_seven_premium,category,small_category,url,image_url
セブンカフェアイスカフェラテＬ,278.0,300.24,,乳,107.0,9.1,5.4,,5.6,0.17,,False,セブンカフェ,セブンカフェ,https://www.sej.co.jp/products/a/item/140210/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/140210/13A4EA3C2DDB2E6C597183551986CCEC.jpg
７Ｐかろやかソフト発酵バター入り,208.0,224.64,発酵バターのコクとすっきりとした後味が楽しめるスプレッド。,乳,,,,,,,,True,牛乳・乳製品,バター・チーズ,https://www.sej.co.jp/products/a/item/220068/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/220068/1818E4178FAA379933C3480832D76C3C.jpg
７プレミアムロックアイス板氷１．７ｋｇ,338.0,365.04,アウトドアシーンの定番アイテムです。一枚のブロック状で非常に溶けにくく、長時間の冷却に最適です。,,,,,,,,,True,冷凍食品,ロックアイス,https://www.sej.co.jp/products/a/item/450310/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450310/D2DC7857A781ABBFF530BAA9317AB4B1.jpg
７プレミアム浅漬盛合せ,198.0,213.84,国産白菜、胡瓜、大根を使用した浅漬の盛合せ。大根は甘酸っぱく、白菜と胡瓜は昆布と鰹節のうま味が引き立つ味わいに仕立てました。食卓の１品やおつまみにぴったりです。,小麦,25.0,5.1,0.2,1.1,1.2,1.8,4.0,True,チルド惣菜,７プレミアム（その他）,https://www.sej.co.jp/products/a/item/107208/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/107208/5199F771EB9A2734AF67A7391C23DBC4.jpg
天然水の氷プレートアイス１．７Ｋｇ,338.0,365.04,,,,,,,,,,False,冷凍食品,ロックアイス,https://www.sej.co.jp/products/a/item/450309/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450309/431C6C867CEB18BAABB62BCCD660C439.jpg
ひきわり納豆巻１２巻,358.0,386.64,原材料高騰の為、商品価格を変更しております。旨みの強い北海道産大豆を使用した、一口サイズで食べやすい１２巻パックのひきわり納豆巻です。,小麦,343.0,72.2,2.9,4.7,9.4,3.3,67.5,False,お寿司,その他のお寿司,https://www.sej.co.jp/products/a/item/046230/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046230/141BBD54F19AAC028048DDF3D84EECAE.jpg
７プレミアム濃い無調整豆乳２００ｍｌ,98.0,105.84,濃厚な大豆の旨味と飲みやすい味わいの無調整豆乳。,,115.0,3.7,7.0,0.4,9.6,0.02,3.3,True,ソフトドリンク,スポーツドリンク・水・健康飲料ほか,https://www.sej.co.jp/products/a/item/210014/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210014/F4008599B3B85833AE17C57C838A79A7.jpg
７プレミアム濃い調製豆乳２００ｍｌ,98.0,105.84,濃厚な大豆の旨味と飲みやすい味わいの調製豆乳。,,131.0,6.2,7.2,0.4,10.5,0.48,5.8,True,ソフトドリンク,スポーツドリンク・水・健康飲料ほか,https://www.sej.co.jp/products/a/item/210645/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210645/3113B3A0F59C6759C2B9B0F335A640E7.jpg
７Ｐレモン１００％３００ｍｌ,328.0,354.24,地中海沿岸産の果汁を使った１００％レモン果汁です。幅広い用途に使用できます。,,5.0,1.2,0.0,0.0,0.0,0.0,1.2,True,ソフトドリンク,スポーツドリンク・水・健康飲料ほか,https://www.sej.co.jp/products/a/item/370008/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/370008/D166C042F2E2329538F9EFCD7E2A523C.jpg
７プレミアム茶碗蒸し,258.0,278.64,卵の風味とだしの味わいが楽しめる定番の茶碗蒸しです。,"卵,小麦,えび",83.0,3.7,4.4,0.7,7.6,2.1,3.0,True,チルド惣菜,７プレミアム（その他）,https://www.sej.co.jp/products/a/item/103677/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/103677/E1CFF01CE61EFDBD88DABB321F9BA525.jpg
７プレミアム茶碗蒸し,258.0,278.64,卵の風味と、だしの味わいが楽しめる定番の茶碗蒸しです。,"卵,小麦,えび",81.0,4.5,3.5,0.7,8.1,1.8,3.8,True,チルド惣菜,７プレミアム（その他）,https://www.sej.co.jp/products/a/item/103686/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/103686/CBBE9A6940F0BD51F3F498E1A65DCD36.jpg
７プレミアム栗と６種具材入り濃厚な茶わんむし１６０ｇ,258.0,278.64,栗の甘露煮をメインに、とうもろこしや海老、かに風味かまぼこなどの具材が入った甘く濃厚な味わいが楽しめる茶わんむしです,"卵,小麦,えび,かに",104.0,11.4,3.4,0.7,6.5,1.3,10.7,True,チルド惣菜,７プレミアム（その他）,https://www.sej.co.jp/products/a/item/105537/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/105537/AA3A82C3C07E30245AC80CD47DFF739A.jpg
五目あんかけご飯,580.0,626.4,お肉の旨味が感じられるたっぷりの中華あんと豚肉が特長の五目あんかけごはんです。,小麦,538.0,94.8,11.0,2.5,16.1,4.2,92.3,False,お弁当,チルド弁当,https://www.sej.co.jp/products/a/item/046423/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046423/EB056B60BC55737EA6EEE47C4410DF0A.jpg
７Ｐグラン・アンデスシャルドネ７５０ｍｌ,518.0,569.8,パイナップル、パッションフルーツの果実香やオレンジの花の華やかなアロマに、アーモンドの香りが調和。ふくよかな果実味。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/032395/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/032395/78132ABDD7105E804F47E86F2AAFFA3E.jpg
７プレミアムヨセミテ・ロード白７５０ｍｌ,698.0,767.8,雄大な景色のヨセミテ国立公園の道沿いにあるヨセミテ・ロード・ヴィンヤードは香り豊かでバランスのとれたワインを産出する土地として有名です。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/031733/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/031733/4F624276F9C505B8CCB356E7F4B5E3D3.jpg
７Ｐグラン・アンデスソーヴィニヨン・ブラン７５０ｍｌ,538.0,591.8,フレッシュでとてもアロマティックな香り。シトラス果実の味わいと心地よい酸の余韻が持続。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/032396/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/032396/AC935B3CBFB9E29A4BFDC0441142BEB4.jpg
７プレミアム北海道バニラ１０００ｍｌ,398.0,429.84,卵を使用したなめらかでコクがありつつも後味の良いバニラアイスです。,"卵,乳",,101.6,64.7,0.8,16.9,0.52,100.8,True,スイーツ・アイス,アイス,https://www.sej.co.jp/products/a/item/450326/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450326/008F9E73568F2DDC0A35730821A3F499.jpg
７Ｐオトナの焦がしキャラメルポップコーン,178.0,192.24,濃厚なキャラメルがしっかり掛かったポップコーンです。キャラメルを高温でじっくり煮詰めることで焦がし感を高め、コク深いオトナの味わいに仕上げました。,乳,175.0,30.0,5.9,0.9,0.8,0.4,29.1,True,お菓子,スナック,https://www.sej.co.jp/products/a/item/330220/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/330220/3FB92078EDF06CA3E7DD1938FA737204.jpg
７プレミアム九州産野菜１１種の青汁４０包,798.0,861.84,九州産野菜を１１種類使用(大麦若葉・ケール・ゴーヤ・モリンガ・ブロッコリー・ほうれん草・ボタンボウフウ・アスパラガス・明日葉・カボチャ・桑葉)した粉末青汁。,,8.0,2.4,0.1,1.4,0.3,0.0,1.0,True,常温・加工食品,インスタントドリンク,https://www.sej.co.jp/products/a/item/480326/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/480326/915CE33C40E02ADA47A4EF1CCBDC620B.jpg
７Ｐ国産大豆使用濃い絹豆腐１５０ｇ×３,130.0,140.4,北海道産大豆とにがりと水だけで作り上げた、大豆の美味しさを楽しめる絹豆腐です。,,84.0,3.8,4.7,0.5,7.5,0.0,3.3,True,生鮮,生鮮,https://www.sej.co.jp/products/a/item/250510/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/250510/773BFFCAB0E9158FCC87D030A3F6163C.jpg
７Ｐ北海道産大豆濃い絹１５０ｇ×３,118.0,127.44,国産大豆を１００％使用した、なめらかな食感と大豆の甘みを味わえる絹豆腐です。原材料高騰の為、推奨売価を（税抜）１１８円に変更いたします。,,92.0,4.5,4.8,0.5,7.8,0.0,4.0,True,生鮮,生鮮,https://www.sej.co.jp/products/a/item/251527/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/251527/6FB8E29753B0B7ECEF7E8EDE1E494908.jpg
７プレミアム国産大豆濃い絹豆腐１５０ｇ×３,118.0,127.44,国産大豆を１００％使用した、なめらかで口当たりの良い風味豊かな絹豆腐です。原材料高騰の為、売価を１１８円（税抜）に変更いたします。,,92.0,3.4,5.1,0.3,8.3,0.01,3.1,True,生鮮,生鮮,https://www.sej.co.jp/products/a/item/250614/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/250614/B2DBBA515C6815442ECB6291AD3F32B7.jpg
たまごサンド,138.0,149.04,ソフトな食感のパンにたまごフィリングをサンドした惣菜パンです。,"卵,乳,小麦",278.0,22.5,18.7,0.8,5.3,1.2,21.7,False,パン,惣菜パン,https://www.sej.co.jp/products/a/item/300634/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/300634/7A595C4C57D2FA2D7AC64F2A3EFA2A2F.jpg
赤麻婆＆チャーハン,550.0,594.0,ラー油の赤さが特長の麻婆豆腐と焦がし醤油を使用した香ばしい風味のチャーハンを組み合わせました。,"卵,乳,小麦",759.0,99.8,27.4,6.7,31.7,6.2,93.1,False,お弁当,チルド弁当,https://www.sej.co.jp/products/a/item/040887/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/040887/BA4BB4F3F6A189F7159C33CAA64E633E.jpg
７プレミアムプライムウイスキー６４０ｍｌ,798.0,877.8,サントリーのブレンダーが五感を研ぎ澄ませて丁寧につくったおだやかにスモーキー香るウイスキー。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/030017/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/030017/80CD7F3E0A17E474B9BFC79B2B50CE35.jpg
７プレミアムプライムウイスキー１．８Ｌ,1798.0,1977.8,サントリーのブレンダーが五感を研ぎ澄ませて丁寧につくったおだやかにスモーキー香るウイスキー。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/030033/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/030033/C5D8BD124303F3962DECB3FF2EACF1AD.jpg
７プレミアムヨセミテ・ロードスパークリング白７２０ｍｌ,818.0,899.8,メルシャンと共同開発商品したスパークリングワイン。青リンゴのような香り、細やかな泡が心地よい、ドライで爽やかな味わいです。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/031031/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/031031/539432D2EC38E0317507CE84DED9F350.jpg
７Ｐグラン・アンデスシャルドネ３Ｌ,1780.0,1958.0,パイナップル、パッションフルーツの果実香やオレンジの花の華やかなアロマに、アーモンドの香りが調和。ふくよかな果実味。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/032398/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/032398/6B37BEFFD0909B09FC7ABB0BF5245074.jpg
７ＰＧマールボロブリーズヴァレーソーヴィニヨンＢ７５０ｍｌ,1270.0,1397.0,ニュージーランド有数のワイン産地マールボロ地区。その中でもワイラウ・ヴァレー沿岸のソーヴィニヨン・ブラン種を使用したこだわりの辛口白ワイン。,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/030705/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/030705/E26DDC7958E41D8BD28C29D47F21F79C.jpg
７Ｐ酸化防止剤無添加白ワイン７２０ｍｌ,468.0,514.8,酸化防止剤を一切使わない、ぶどう本来の豊かな香りや味わいが楽しめる白ワイン,,,,,,,,,True,お酒,お酒,https://www.sej.co.jp/products/a/item/030372/,https://img-afd.7api-01.dp1.sej.co.jp/item-image/030372/6515A0BB75B46FC7416262CCFB0753BF.jpg
